sentence,word,label
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,the,ENG
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,deadline,ENG
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,is,ENG
Ammi ne kaha ghar jaldi aa jao phir the deadline is tomorrow,tomorrow,ENG
Bhai kal mera presentation hai phir nothing is working properly,Bhai,URD
Bhai kal mera presentation hai phir nothing is working properly,kal,URD
Bhai kal mera presentation hai phir nothing is working properly,mera,URD
Bhai kal mera presentation hai phir nothing is working properly,presentation,MIX
Bhai kal mera presentation hai phir nothing is working properly,hai,URD
Bhai kal mera presentation hai phir nothing is working properly,phir,URD
Bhai kal mera presentation hai phir nothing is working properly,nothing,ENG
Bhai kal mera presentation hai phir nothing is working properly,is,ENG
Bhai kal mera presentation hai phir nothing is working properly,working,ENG
Bhai kal mera presentation hai phir nothing is working properly,properly,ENG
Kal raat neend hi nahi aayi lekin the results come out tomorrow,Kal,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,raat,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,neend,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,hi,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,nahi,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,aayi,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,lekin,URD
Kal raat neend hi nahi aayi lekin the results come out tomorrow,the,ENG
Kal raat neend hi nahi aayi lekin the results come out tomorrow,results,ENG
Kal raat neend hi nahi aayi lekin the results come out tomorrow,come,ENG
Kal raat neend hi nahi aayi lekin the results come out tomorrow,out,ENG
Kal raat neend hi nahi aayi lekin the results come out tomorrow,tomorrow,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,Mujhe,URD
Mujhe bilkul time nahi mila phir I'm not in the mood,bilkul,URD
Mujhe bilkul time nahi mila phir I'm not in the mood,time,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,nahi,URD
Mujhe bilkul time nahi mila phir I'm not in the mood,mila,URD
Mujhe bilkul time nahi mila phir I'm not in the mood,phir,URD
Mujhe bilkul time nahi mila phir I'm not in the mood,I'm,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,not,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,in,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,the,ENG
Mujhe bilkul time nahi mila phir I'm not in the mood,mood,ENG
Subha se sar dard ho raha hai aur I can't even right now,Subha,URD
Subha se sar dard ho raha hai aur I can't even right now,se,URD
Subha se sar dard ho raha hai aur I can't even right now,sar,URD
Subha se sar dard ho raha hai aur I can't even right now,dard,URD
Subha se sar dard ho raha hai aur I can't even right now,ho,URD
Subha se sar dard ho raha hai aur I can't even right now,raha,URD
Subha se sar dard ho raha hai aur I can't even right now,hai,URD
Subha se sar dard ho raha hai aur I can't even right now,aur,URD
Subha se sar dard ho raha hai aur I can't even right now,I,ENG
Subha se sar dard ho raha hai aur I can't even right now,can't,ENG
Subha se sar dard ho raha hai aur I can't even right now,even,ENG
Subha se sar dard ho raha hai aur I can't even right now,right,ENG
Subha se sar dard ho raha hai aur I can't even right now,now,ENG
Yaar tension mat lo aur still not prepared at all,Yaar,URD
Yaar tension mat lo aur still not prepared at all,tension,ENG
Yaar tension mat lo aur still not prepared at all,mat,URD
Yaar tension mat lo aur still not prepared at all,lo,URD
Yaar tension mat lo aur still not prepared at all,aur,URD
Yaar tension mat lo aur still not prepared at all,still,ENG
Yaar tension mat lo aur still not prepared at all,not,ENG
Yaar tension mat lo aur still not prepared at all,prepared,ENG
Yaar tension mat lo aur still not prepared at all,at,ENG
Yaar tension mat lo aur still not prepared at all,all,ENG
Khana kha liya lekin this is so frustrating,Khana,URD
Khana kha liya lekin this is so frustrating,kha,URD
Khana kha liya lekin this is so frustrating,liya,URD
Khana kha liya lekin this is so frustrating,lekin,URD
Khana kha liya lekin this is so frustrating,this,ENG
Khana kha liya lekin this is so frustrating,is,ENG
Khana kha liya lekin this is so frustrating,so,ENG
Khana kha liya lekin this is so frustrating,frustrating,ENG
Ghar par sab log so gaye hain but the deadline is tomorrow,Ghar,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,par,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,sab,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,log,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,so,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,gaye,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,hain,URD
Ghar par sab log so gaye hain but the deadline is tomorrow,but,ENG
Ghar par sab log so gaye hain but the deadline is tomorrow,the,ENG
Ghar par sab log so gaye hain but the deadline is tomorrow,deadline,ENG
Ghar par sab log so gaye hain but the deadline is tomorrow,is,ENG
Ghar par sab log so gaye hain but the deadline is tomorrow,tomorrow,ENG
Khana kha liya but I need a break honestly,Khana,URD
Khana kha liya but I need a break honestly,kha,URD
Khana kha liya but I need a break honestly,liya,URD
Khana kha liya but I need a break honestly,but,ENG
Khana kha liya but I need a break honestly,I,ENG
Khana kha liya but I need a break honestly,need,ENG
Khana kha liya but I need a break honestly,a,ENG
Khana kha liya but I need a break honestly,break,ENG
Khana kha liya but I need a break honestly,honestly,ENG
Ye traffic bilkul insane hai and let's just get this done,Ye,URD
Ye traffic bilkul insane hai and let's just get this done,traffic,ENG
Ye traffic bilkul insane hai and let's just get this done,bilkul,URD
Ye traffic bilkul insane hai and let's just get this done,insane,ENG
Ye traffic bilkul insane hai and let's just get this done,hai,URD
Ye traffic bilkul insane hai and let's just get this done,and,ENG
Ye traffic bilkul insane hai and let's just get this done,let's,ENG
Ye traffic bilkul insane hai and let's just get this done,just,ENG
Ye traffic bilkul insane hai and let's just get this done,get,ENG
Ye traffic bilkul insane hai and let's just get this done,this,ENG
Ye traffic bilkul insane hai and let's just get this done,done,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,Mujhe,URD
Mujhe bilkul time nahi mila so honestly I don't care anymore,bilkul,URD
Mujhe bilkul time nahi mila so honestly I don't care anymore,time,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,nahi,URD
Mujhe bilkul time nahi mila so honestly I don't care anymore,mila,URD
Mujhe bilkul time nahi mila so honestly I don't care anymore,so,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,honestly,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,I,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,don't,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,care,ENG
Mujhe bilkul time nahi mila so honestly I don't care anymore,anymore,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,Bahar,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,bohot,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,barish,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,ho,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,rahi,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,hai,URD
Bahar bohot barish ho rahi hai and I totally forgot about it,and,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,I,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,totally,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,forgot,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,about,ENG
Bahar bohot barish ho rahi hai and I totally forgot about it,it,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,Kal,URD
Kal raat neend hi nahi aayi so I have zero motivation today,raat,URD
Kal raat neend hi nahi aayi so I have zero motivation today,neend,URD
Kal raat neend hi nahi aayi so I have zero motivation today,hi,URD
Kal raat neend hi nahi aayi so I have zero motivation today,nahi,URD
Kal raat neend hi nahi aayi so I have zero motivation today,aayi,URD
Kal raat neend hi nahi aayi so I have zero motivation today,so,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,I,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,have,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,zero,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,motivation,ENG
Kal raat neend hi nahi aayi so I have zero motivation today,today,ENG
Mera phone hang ho gaya hai phir this project is due Friday,Mera,URD
Mera phone hang ho gaya hai phir this project is due Friday,phone,ENG
Mera phone hang ho gaya hai phir this project is due Friday,hang,ENG
Mera phone hang ho gaya hai phir this project is due Friday,ho,URD
Mera phone hang ho gaya hai phir this project is due Friday,gaya,URD
Mera phone hang ho gaya hai phir this project is due Friday,hai,URD
Mera phone hang ho gaya hai phir this project is due Friday,phir,URD
Mera phone hang ho gaya hai phir this project is due Friday,this,ENG
Mera phone hang ho gaya hai phir this project is due Friday,project,ENG
Mera phone hang ho gaya hai phir this project is due Friday,is,ENG
Mera phone hang ho gaya hai phir this project is due Friday,due,ENG
Mera phone hang ho gaya hai phir this project is due Friday,Friday,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,Kal,URD
Kal raat neend hi nahi aayi but I'm not in the mood,raat,URD
Kal raat neend hi nahi aayi but I'm not in the mood,neend,URD
Kal raat neend hi nahi aayi but I'm not in the mood,hi,URD
Kal raat neend hi nahi aayi but I'm not in the mood,nahi,URD
Kal raat neend hi nahi aayi but I'm not in the mood,aayi,URD
Kal raat neend hi nahi aayi but I'm not in the mood,but,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,I'm,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,not,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,in,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,the,ENG
Kal raat neend hi nahi aayi but I'm not in the mood,mood,ENG
Bohot thak gaya hoon lekin I have zero motivation today,Bohot,URD
Bohot thak gaya hoon lekin I have zero motivation today,thak,URD
Bohot thak gaya hoon lekin I have zero motivation today,gaya,URD
Bohot thak gaya hoon lekin I have zero motivation today,hoon,URD
Bohot thak gaya hoon lekin I have zero motivation today,lekin,URD
Bohot thak gaya hoon lekin I have zero motivation today,I,ENG
Bohot thak gaya hoon lekin I have zero motivation today,have,ENG
Bohot thak gaya hoon lekin I have zero motivation today,zero,ENG
Bohot thak gaya hoon lekin I have zero motivation today,motivation,ENG
Bohot thak gaya hoon lekin I have zero motivation today,today,ENG
Subha se sar dard ho raha hai so I have an assignment due,Subha,URD
Subha se sar dard ho raha hai so I have an assignment due,se,URD
Subha se sar dard ho raha hai so I have an assignment due,sar,URD
Subha se sar dard ho raha hai so I have an assignment due,dard,URD
Subha se sar dard ho raha hai so I have an assignment due,ho,URD
Subha se sar dard ho raha hai so I have an assignment due,raha,URD
Subha se sar dard ho raha hai so I have an assignment due,hai,URD
Subha se sar dard ho raha hai so I have an assignment due,so,ENG
Subha se sar dard ho raha hai so I have an assignment due,I,ENG
Subha se sar dard ho raha hai so I have an assignment due,have,ENG
Subha se sar dard ho raha hai so I have an assignment due,an,ENG
Subha se sar dard ho raha hai so I have an assignment due,assignment,ENG
Subha se sar dard ho raha hai so I have an assignment due,due,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,Dil,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,nahi,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,kar,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,raha,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,kuch,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,bhi,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,karne,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,ka,URD
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,and,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,I,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,need,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,a,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,break,ENG
Dil nahi kar raha kuch bhi karne ka and I need a break honestly,honestly,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,Mujhe,URD
Mujhe bilkul time nahi mila and honestly I don't care anymore,bilkul,URD
Mujhe bilkul time nahi mila and honestly I don't care anymore,time,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,nahi,URD
Mujhe bilkul time nahi mila and honestly I don't care anymore,mila,URD
Mujhe bilkul time nahi mila and honestly I don't care anymore,and,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,honestly,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,I,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,don't,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,care,ENG
Mujhe bilkul time nahi mila and honestly I don't care anymore,anymore,ENG
Mujhe neend aa rahi hai but I'm not in the mood,Mujhe,URD
Mujhe neend aa rahi hai but I'm not in the mood,neend,URD
Mujhe neend aa rahi hai but I'm not in the mood,aa,URD
Mujhe neend aa rahi hai but I'm not in the mood,rahi,URD
Mujhe neend aa rahi hai but I'm not in the mood,hai,URD
Mujhe neend aa rahi hai but I'm not in the mood,but,ENG
Mujhe neend aa rahi hai but I'm not in the mood,I'm,ENG
Mujhe neend aa rahi hai but I'm not in the mood,not,ENG
Mujhe neend aa rahi hai but I'm not in the mood,in,ENG
Mujhe neend aa rahi hai but I'm not in the mood,the,ENG
Mujhe neend aa rahi hai but I'm not in the mood,mood,ENG
Sab kuch theek chal raha hai so the wifi keeps disconnecting,Sab,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,kuch,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,theek,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,chal,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,raha,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,hai,URD
Sab kuch theek chal raha hai so the wifi keeps disconnecting,so,ENG
Sab kuch theek chal raha hai so the wifi keeps disconnecting,the,ENG
Sab kuch theek chal raha hai so the wifi keeps disconnecting,wifi,ENG
Sab kuch theek chal raha hai so the wifi keeps disconnecting,keeps,ENG
Sab kuch theek chal raha hai so the wifi keeps disconnecting,disconnecting,ENG
Kal ka din bohot acha tha lekin let's just get this done,Kal,URD
Kal ka din bohot acha tha lekin let's just get this done,ka,URD
Kal ka din bohot acha tha lekin let's just get this done,din,URD
Kal ka din bohot acha tha lekin let's just get this done,bohot,URD
Kal ka din bohot acha tha lekin let's just get this done,acha,URD
Kal ka din bohot acha tha lekin let's just get this done,tha,URD
Kal ka din bohot acha tha lekin let's just get this done,lekin,URD
Kal ka din bohot acha tha lekin let's just get this done,let's,ENG
Kal ka din bohot acha tha lekin let's just get this done,just,ENG
Kal ka din bohot acha tha lekin let's just get this done,get,ENG
Kal ka din bohot acha tha lekin let's just get this done,this,ENG
Kal ka din bohot acha tha lekin let's just get this done,done,ENG
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,Ammi,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,ne,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,kaha,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,ghar,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,jaldi,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,aa,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,jao,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,aur,URD
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,I,ENG
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,totally,ENG
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,forgot,ENG
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,about,ENG
Ammi ne kaha ghar jaldi aa jao aur I totally forgot about it,it,ENG
Khana kha liya aur I'm literally so tired,Khana,URD
Khana kha liya aur I'm literally so tired,kha,URD
Khana kha liya aur I'm literally so tired,liya,URD
Khana kha liya aur I'm literally so tired,aur,URD
Khana kha liya aur I'm literally so tired,I'm,ENG
Khana kha liya aur I'm literally so tired,literally,ENG
Khana kha liya aur I'm literally so tired,so,ENG
Khana kha liya aur I'm literally so tired,tired,ENG
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,Dil,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,nahi,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,kar,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,raha,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,kuch,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,bhi,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,karne,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,ka,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,phir,URD
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,honestly,ENG
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,I,ENG
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,don't,ENG
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,care,ENG
Dil nahi kar raha kuch bhi karne ka phir honestly I don't care anymore,anymore,ENG
Aaj mera mood nahi hai aur nothing is working properly,Aaj,URD
Aaj mera mood nahi hai aur nothing is working properly,mera,URD
Aaj mera mood nahi hai aur nothing is working properly,mood,MIX
Aaj mera mood nahi hai aur nothing is working properly,nahi,URD
Aaj mera mood nahi hai aur nothing is working properly,hai,URD
Aaj mera mood nahi hai aur nothing is working properly,aur,URD
Aaj mera mood nahi hai aur nothing is working properly,nothing,ENG
Aaj mera mood nahi hai aur nothing is working properly,is,ENG
Aaj mera mood nahi hai aur nothing is working properly,working,ENG
Aaj mera mood nahi hai aur nothing is working properly,properly,ENG
"Mujhe neend aa rahi hai, let's just get this done",Mujhe,URD
"Mujhe neend aa rahi hai, let's just get this done",neend,URD
"Mujhe neend aa rahi hai, let's just get this done",aa,URD
"Mujhe neend aa rahi hai, let's just get this done",rahi,URD
"Mujhe neend aa rahi hai, let's just get this done",hai,URD
"Mujhe neend aa rahi hai, let's just get this done",let's,ENG
"Mujhe neend aa rahi hai, let's just get this done",just,ENG
"Mujhe neend aa rahi hai, let's just get this done",get,ENG
"Mujhe neend aa rahi hai, let's just get this done",this,ENG
"Mujhe neend aa rahi hai, let's just get this done",done,ENG
Bijli phir chali gayi and I have zero motivation today,Bijli,URD
Bijli phir chali gayi and I have zero motivation today,phir,URD
Bijli phir chali gayi and I have zero motivation today,chali,URD
Bijli phir chali gayi and I have zero motivation today,gayi,URD
Bijli phir chali gayi and I have zero motivation today,and,ENG
Bijli phir chali gayi and I have zero motivation today,I,ENG
Bijli phir chali gayi and I have zero motivation today,have,ENG
Bijli phir chali gayi and I have zero motivation today,zero,ENG
Bijli phir chali gayi and I have zero motivation today,motivation,ENG
Bijli phir chali gayi and I have zero motivation today,today,ENG
Kal ka din bohot acha tha but I'm literally so tired,Kal,URD
Kal ka din bohot acha tha but I'm literally so tired,ka,URD
Kal ka din bohot acha tha but I'm literally so tired,din,URD
Kal ka din bohot acha tha but I'm literally so tired,bohot,URD
Kal ka din bohot acha tha but I'm literally so tired,acha,URD
Kal ka din bohot acha tha but I'm literally so tired,tha,URD
Kal ka din bohot acha tha but I'm literally so tired,but,ENG
Kal ka din bohot acha tha but I'm literally so tired,I'm,ENG
Kal ka din bohot acha tha but I'm literally so tired,literally,ENG
Kal ka din bohot acha tha but I'm literally so tired,so,ENG
Kal ka din bohot acha tha but I'm literally so tired,tired,ENG
Aaj bohot garmi hai so I just want to sleep,Aaj,URD
Aaj bohot garmi hai so I just want to sleep,bohot,URD
Aaj bohot garmi hai so I just want to sleep,garmi,URD
Aaj bohot garmi hai so I just want to sleep,hai,URD
Aaj bohot garmi hai so I just want to sleep,so,ENG
Aaj bohot garmi hai so I just want to sleep,I,ENG
Aaj bohot garmi hai so I just want to sleep,just,ENG
Aaj bohot garmi hai so I just want to sleep,want,ENG
Aaj bohot garmi hai so I just want to sleep,to,ENG
Aaj bohot garmi hai so I just want to sleep,sleep,ENG
Khana kha liya lekin I can't even right now,Khana,URD
Khana kha liya lekin I can't even right now,kha,URD
Khana kha liya lekin I can't even right now,liya,URD
Khana kha liya lekin I can't even right now,lekin,URD
Khana kha liya lekin I can't even right now,I,ENG
Khana kha liya lekin I can't even right now,can't,ENG
Khana kha liya lekin I can't even right now,even,ENG
Khana kha liya lekin I can't even right now,right,ENG
Khana kha liya lekin I can't even right now,now,ENG
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,Dil,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,nahi,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,kar,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,raha,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,kuch,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,bhi,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,karne,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,ka,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,lekin,URD
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,I,ENG
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,have,ENG
Dil nahi kar raha kuch bhi karne ka lekin I have zero motivation today,zero,ENG
